tahun,merk,tipe,tipe_truncated,jenis_mobil,is_convertible,is_coupe,is_fastback,is_hatchback,is_mpv,is_pickup,is_suv,is_sedan,is_truck,is_van,is_wagon,transmisi,km,lokasi,penjual,harga_asli,harga_imputed,imputation_source,harga
2023,Mercedes-Benz,AMG A35 4MATIC,False,Sedan,0,0,0,0,0,0,0,1,0,0,0,Automatic,12500.0,DKI Jakarta,Dealer,696999000.0,False,,696999000.0
2022,Honda,City,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,82500.0,Banten,Sales Agent,232000000.0,False,,232000000.0
2024,Suzuki,XL7,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Manual,12500.0,DKI Jakarta,Sales Agent,206000000.0,False,,206000000.0
2022,Toyota,Voxy,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,67500.0,Jawa Barat,Sales Agent,370000000.0,False,,370000000.0
2024,Daihatsu,Sigra,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Manual,22500.0,Jawa Barat,Sales Agent,117000000.0,False,,117000000.0
2017,Suzuki,Ertiga,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Manual,112500.0,Jawa Barat,Sales Agent,131000000.0,False,,131000000.0
2022,Suzuki,XL7,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,82500.0,Jawa Barat,Sales Agent,219000000.0,False,,219000000.0
2023,Mitsubishi,XFORCE Ultimate,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,42500.0,Jawa Barat,Sales Agent,290000000.0,False,,290000000.0
2016,Mercedes-Benz,GL400 Exclusive,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,72500.0,DKI Jakarta,Dealer,459000000.0,False,,459000000.0
2023,Mitsubishi,Xpander Cross Premium,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,42500.0,DKI Jakarta,Sales Agent,269000000.0,False,,269000000.0
2019,Toyota,Agya,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,67500.0,Banten,Broker,100000000.0,False,,100000000.0
2023,Suzuki,Ignis,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,37500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,466564618.0
2019,Isuzu,Elf,False,Truck,0,0,0,0,0,0,0,0,1,0,0,Manual,72500.0,DKI Jakarta,Dealer,253000000.0,False,,253000000.0
2021,Toyota,Kijang Innova,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,77500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,284012562.0
2021,Toyota,Agya,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,32500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,201503268.0
2023,Hyundai,Stargazer Prime,True,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,32500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,284012562.0
2018,Daihatsu,Terios,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,77500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,466564618.0
2025,Toyota,Yaris Cross S (Premium Colour),True,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,17500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,466564618.0
2021,Mitsubishi,Xpander Cross Premium,True,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,52500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,284012562.0
2019,Toyota,Camry,False,Sedan,0,0,0,0,0,0,0,1,0,0,0,Automatic,42500.0,Jawa Barat,Dealer,335000000.0,False,,335000000.0
2024,Hyundai,Santa Fe,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,12500.0,DKI Jakarta,Dealer,685000000.0,False,,685000000.0
2012,Honda,Freed,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,157500.0,Banten,Broker,115000000.0,False,,115000000.0
2016,Honda,Jazz,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,62500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,201503268.0
2019,Honda,Mobilio,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,57500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,284012562.0
