"listing__rating-model","item","item 2","item 3","item 4","ellipsize","listing__excerpt","listing__price"
"Suzuki XL7","80 - 85K KM","Automatic","Jawa Barat","Sales Agent","2022 Suzuki XL7 1.5 Alpha SUV","Masookk lagi Suzuki XL7 alpha 2021😍 Cepetan bungkus boskuh ✅Automatic ✅perorangan ✅Km ...","Rp 219.000.000"
"","40 - 45K KM","Automatic","Jawa Barat","Sales Agent","2023 Mitsubishi XFORCE 1.5 Ultimate SUV","Masookk lagi Mitsubishi x force ultimate 2023😍 Cepetan bungkus boskuh ✅Automatic ...","Rp 290.000.000"
"","70 - 75K KM","Automatic","DKI Jakarta","Dealer","2016 Mercedes-Benz GL400 3.0 Exclusive SUV","•Mercy GL 400 Exclusive 2016• ▶️KHUSUS BUAT ANDA YANG MENCARI MOBIL BEKAS BERKUALITAS Otr ...","Rp 459.000.000"
"","40 - 45K KM","Automatic","DKI Jakarta","Sales Agent","2023 Mitsubishi Xpander Cross 1.5 Premium MPV","Masookk lagi Mitsubishi xpander cross 2023😍 Cepetan bungkus boskuh ✅Automatic ✅perorangan ...","Rp 269.000.000"
"Toyota Agya","65 - 70K KM","Automatic","Banten","Broker","2019 Toyota Agya 1.2 G Hatchback - FREE GARANSI MESIN TRAN...","Ready Stock Toyota Agya 1.2 G AT 2019 Spesifikasi Mobil : • Merk : Toyota • Tipe : Agya ...","Rp 100.000.000"
"Suzuki Ignis","35 - 40K KM","Automatic","DKI Jakarta","Dealer","2023 Suzuki Ignis 1.2 GX SUV - Matic Putih Kondisi Prima S...","🔥 Dijual Cepat: Suzuki Ignis GX Matic 2023 Putih🔥 ✅ Tangan Pertama ✅ KM Rendah 37rb ✅ ...",""
"Isuzu Elf","70 - 75K KM","Manual","DKI Jakarta","Dealer","2019 Isuzu Elf 4.6 NMR 71 T Truck","Dijual Isuzu NMR71 6 Roda Box Tahun 2019 Bisa cash atau kredit Surat-surat Lengkap Harga ...","Rp 253.000.000"
"Toyota Kijang Innova","75 - 80K KM","Automatic","DKI Jakarta","Dealer","2021 Toyota Kijang Innova 2.4 G MPV - Matic Diesel Silver ...","🔥 Dijual Cepat: Toyota Kijang Innova 2.4 Diesel Matic 2021 Silver 🔥 ✅ Tangan Pertama ✅ KM ...",""
"Toyota Agya","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2021 Toyota Agya 1.2 TRD Hatchback - Matic Abu Irit Keren ...","🔥 Dijual Cepat: Toyota Agya TRD Matic 2021 Abu🔥 ✅ Tangan Pertama ✅ KM Rendah 35rb ✅ Mesin ...",""
"","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2023 Hyundai Stargazer 1.5 Prime MPV - Matic Abu Captain S...","🔥 Dijual Cepat: Hyundai Stargazer Prime iVT Matic 2023 Abu 🔥 ✅ Tangan Pertama ✅ KM Rendah ...",""
"Daihatsu Terios","75 - 80K KM","Automatic","DKI Jakarta","Dealer","2018 Daihatsu Terios 1.5 R SUV - Matic Putih New Model Gan...","🔥 Dijual Cepat: Daihatsu Terios R Matic 2018 Putih Matic🔥 ✅ Tangan Pertama ✅ KM Rendah ...",""
"","15 - 20K KM","Automatic","DKI Jakarta","Dealer","2025 Toyota Yaris Cross 1.5 S (Premium Colour) SUV - Matic...","🔥 Dijual Cepat: Toyota Yaris Cross S Matic 2025 Putih🔥 ✅ Tangan Pertama ✅ KM Rendah 20rb ...",""
"","50 - 55K KM","Automatic","DKI Jakarta","Dealer","2021 Mitsubishi Xpander Cross 1.5 Premium MPV - Matic Puti...","🔥 Dijual Cepat: Mitsubishi Xpander Cross Premium Matic 2021 Putih🔥 ✅ Tangan Pertama ✅ KM ...",""
"Toyota Camry","40 - 45K KM","Automatic","Jawa Barat","Dealer","2019 Toyota Camry 2.5 Hybrid Sedan","DIJUAL CEPAT Toyota Camry 2.5 Hybrid AT 2019 ODO 42RB PAJAK DESEMBER 2026 HARGA ...","Rp 335.000.000"
"Hyundai Santa Fe","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2024 Hyundai Santa Fe 2.5 Calligraphy SUV - LOW KM","2024 Hyundai Santa Fe 2.5 GDi Calligraphy Hybrid - LOW KM ""Hyundai Promise merupakan ...","Rp 685.000.000"
"Honda Freed","155 - 160K KM","Automatic","Banten","Broker","2012 Honda Freed 1.5 Power Sliding Door MPV - FREE GARANSI...","Ready Stock Honda Freed PSD AT 2012 Spesifikasi Mobil : • Merk : Honda • Tipe : Freed PSD ...","Rp 115.000.000"
"Honda Jazz","60 - 65K KM","Automatic","DKI Jakarta","Dealer","2016 Honda Jazz 1.5 RS Hatchback - Matic Putih City Car Te...","🔥 Dijual Cepat: Honda Jazz RS Matic 2016 Putih🔥 ✅ Tangan Pertama ✅ KM Rendah 61rb ✅ Mesin ...",""
"Honda Mobilio","55 - 60K KM","Automatic","DKI Jakarta","Dealer","2019 Honda Mobilio 1.5 E MPV - Matic Putih Mobil Keluarga ...","🔥 Dijual Cepat: Honda Mobilio E Matic 2019 Putih🔥 ✅ Tangan Pertama ✅ KM Rendah 58rb ✅ ...",""
"","","","","","","",""
"","","","","","","",""
